model_project_name,pathway_name,process_step,process_reference_output,effective_process_scale_per_t_pp,exchange_or_parameter,role,process_value,process_unit,allocation_factor,contribution_to_pathway,contribution_unit,model_component,model_aggregated_value,calculation_note
Gasifizierung-FT E-Steamcracker,PCW via gasification-FT and electric steam cracking,Polymerisation,Polypropylene (1.0 kg),1,Carbon dioxide,Direct process emission,0.2,kg,1,0.2,t CO2/t PP,CO2,2.21,Contribution = process value × effective process scale × allocation factor
Gasifizierung-FT E-Steamcracker,PCW via gasification-FT and electric steam cracking,Polymerisation,Polypropylene (1.0 kg),1,CAPEX,External input / cost parameter,200,EUR,1,200,EUR/t annual PP capacity,CAPEX,6927.33,Contribution = process value × effective process scale × allocation factor
Gasifizierung-FT E-Steamcracker,PCW via gasification-FT and electric steam cracking,Polymerisation,Polypropylene (1.0 kg),1,Strom,External input / cost parameter,0.23,kWh,1,0.23,MWh/t PP,Electricity,5.33,Contribution = process value × effective process scale × allocation factor
Gasifizierung-FT E-Steamcracker,PCW via gasification-FT and electric steam cracking,Polymerisation,Polypropylene (1.0 kg),1,OPEX,External input / cost parameter,5,EUR,1,5,EUR/t PP,Additional OPEX,417.53,Contribution = process value × effective process scale × allocation factor
Gasifizierung-FT E-Steamcracker,PCW via gasification-FT and electric steam cracking,Electric steam cracker,Propylene (0.196 kg),5.178571428571428,Strom,External input / cost parameter,3.6936,kWh,0.2578947368421053,4.932899999999999,MWh/t PP,Electricity,5.33,Contribution = process value × effective process scale × allocation factor
Gasifizierung-FT E-Steamcracker,PCW via gasification-FT and electric steam cracking,Electric steam cracker,Propylene (0.196 kg),5.178571428571428,CAPEX,External input / cost parameter,1710,EUR,0.2835332803353328,2510.788459255206,EUR/t annual PP capacity,CAPEX,6927.33,Contribution = process value × effective process scale × allocation factor
Gasifizierung-FT E-Steamcracker,PCW via gasification-FT and electric steam cracking,Electric steam cracker,Propylene (0.196 kg),5.178571428571428,Naphtha,Intermediate input,1,kg,0.196,1.015,t/t PP,,,Contribution = process value × effective process scale × allocation factor
Gasifizierung-FT E-Steamcracker,PCW via gasification-FT and electric steam cracking,Electric steam cracker,Propylene (0.196 kg),5.178571428571428,OPEX,External input / cost parameter,42.75,EUR,0.2835332803353328,62.76971148138015,EUR/t PP,Additional OPEX,417.53,Contribution = process value × effective process scale × allocation factor
Gasifizierung-FT E-Steamcracker,PCW via gasification-FT and electric steam cracking,Plastic-waste gasification and Fischer-Tropsch synthesis,"Packaging waste, plastic (1.0 kg)",1.6832504145936982,"Packaging waste, plastic",External input / cost parameter,1,kg,1,1.6832504145936982,t/t PP,PCW,1.68,Contribution = process value × effective process scale × allocation factor
Gasifizierung-FT E-Steamcracker,PCW via gasification-FT and electric steam cracking,Plastic-waste gasification and Fischer-Tropsch synthesis,"Packaging waste, plastic (1.0 kg)",1.6832504145936982,CAPEX,External input / cost parameter,2505,EUR,1,4216.542288557214,EUR/t annual PP capacity,CAPEX,6927.33,Contribution = process value × effective process scale × allocation factor
Gasifizierung-FT E-Steamcracker,PCW via gasification-FT and electric steam cracking,Plastic-waste gasification and Fischer-Tropsch synthesis,"Packaging waste, plastic (1.0 kg)",1.6832504145936982,Strom,External input / cost parameter,0.1,kWh,1,0.16832504145936983,MWh/t PP,Electricity,5.33,Contribution = process value × effective process scale × allocation factor
Gasifizierung-FT E-Steamcracker,PCW via gasification-FT and electric steam cracking,Plastic-waste gasification and Fischer-Tropsch synthesis,"Packaging waste, plastic (1.0 kg)",1.6832504145936982,Carbon dioxide,Direct process emission,1.19394,kg,1,2.0097,t CO2/t PP,CO2,2.21,Contribution = process value × effective process scale × allocation factor
Gasifizierung-FT E-Steamcracker,PCW via gasification-FT and electric steam cracking,Plastic-waste gasification and Fischer-Tropsch synthesis,"Packaging waste, plastic (1.0 kg)",1.6832504145936982,OPEX,External input / cost parameter,207.79,EUR,1,349.76260364842454,EUR/t PP,Additional OPEX,417.53,Contribution = process value × effective process scale × allocation factor
Mechanisches Recycling,PCW via mechanical recycling,Mechanical recycling,Recycled PP (0.85 t rPP/t PCW),1.1764705882352942,CAPEX,External input / cost parameter,95,EUR/t annual PCW capacity,1,111.76470588235294,EUR/t annual PP capacity,CAPEX,111.76,Contribution = process value / 0.85 recycling yield
Mechanisches Recycling,PCW via mechanical recycling,Mechanical recycling,Recycled PP (0.85 t rPP/t PCW),1.1764705882352942,OPEX,External input / cost parameter,157.4,EUR/t PCW,1,185.1764705882353,EUR/t PP,Additional OPEX,185.18,Contribution = process value / 0.85 recycling yield
Mechanisches Recycling,PCW via mechanical recycling,Mechanical recycling,Recycled PP (0.85 t rPP/t PCW),1.1764705882352942,Strom,External input / cost parameter,0.492,MWh/t PCW,1,0.5788235294117647,MWh/t PP,Electricity,0.579,Contribution = process value / 0.85 recycling yield
Mechanisches Recycling,PCW via mechanical recycling,Mechanical recycling,Recycled PP (0.85 t rPP/t PCW),1.1764705882352942,Carbon dioxide,Direct process emission,0.4,t CO2/t PCW,1,0.4705882352941177,t CO2/t PP,CO2,0.471,Contribution = process value / 0.85 recycling yield
Mechanisches Recycling,PCW via mechanical recycling,Mechanical recycling,Recycled PP (0.85 t rPP/t PCW),1.1764705882352942,"Packaging waste, plastic",External input / cost parameter,1,t PCW/t PCW,1,1.1764705882352942,t/t PP,PCW,1.18,Contribution = process value / 0.85 recycling yield
Methanolroute,Captured CO2 and H2 via methanol-to-propylene,Polymerisation,Polypropylene (1.0 kg),1,Carbon dioxide,Direct process emission,0.2,kg,1,0.2,t CO2/t PP,CO2,0.31913,Contribution = process value × effective process scale × allocation factor
Methanolroute,Captured CO2 and H2 via methanol-to-propylene,Polymerisation,Polypropylene (1.0 kg),1,CAPEX,External input / cost parameter,200,EUR,1,200,EUR/t annual PP capacity,CAPEX,5627.57,Contribution = process value × effective process scale × allocation factor
Methanolroute,Captured CO2 and H2 via methanol-to-propylene,Polymerisation,Polypropylene (1.0 kg),1,Strom,External input / cost parameter,0.23,kWh,1,0.23,MWh/t PP,Electricity,11.35,Contribution = process value × effective process scale × allocation factor
Methanolroute,Captured CO2 and H2 via methanol-to-propylene,Polymerisation,Polypropylene (1.0 kg),1,OPEX,External input / cost parameter,5,EUR,1,5,EUR/t PP,Additional OPEX,140.58,Contribution = process value × effective process scale × allocation factor
Methanolroute,Captured CO2 and H2 via methanol-to-propylene,Methanol-to-propylene,Methanol (1.0 kg),3.573943661971831,Strom,External input / cost parameter,3.05556,kWh,0.6666666666666667,7.280266197183099,MWh/t PP,Electricity,11.35,Contribution = process value × effective process scale × allocation factor
Methanolroute,Captured CO2 and H2 via methanol-to-propylene,Methanol-to-propylene,Methanol (1.0 kg),3.573943661971831,OPEX,External input / cost parameter,27.65,EUR,0.6666666666666667,65.87969483568075,EUR/t PP,Additional OPEX,140.58,Contribution = process value × effective process scale × allocation factor
Methanolroute,Captured CO2 and H2 via methanol-to-propylene,Methanol-to-propylene,Methanol (1.0 kg),3.573943661971831,CAPEX,External input / cost parameter,1106.75,EUR,0.6666666666666667,2636.9747652582164,EUR/t annual PP capacity,CAPEX,5627.57,Contribution = process value × effective process scale × allocation factor
Methanolroute,Captured CO2 and H2 via methanol-to-propylene,Reverse water-gas shift and methanol synthesis,Methanol (1.0 kg),2.382629107981221,OPEX,External input / cost parameter,7,EUR,1,16.678403755868548,EUR/t PP,Additional OPEX,140.58,Contribution = process value × effective process scale × allocation factor
Methanolroute,Captured CO2 and H2 via methanol-to-propylene,Reverse water-gas shift and methanol synthesis,Methanol (1.0 kg),2.382629107981221,CAPEX,External input / cost parameter,280.82,EUR,1,669.0899061032865,EUR/t annual PP capacity,CAPEX,5627.57,Contribution = process value × effective process scale × allocation factor
Methanolroute,Captured CO2 and H2 via methanol-to-propylene,Reverse water-gas shift and methanol synthesis,Methanol (1.0 kg),2.382629107981221,Strom,External input / cost parameter,0.2068,kWh,1,0.49272769953051654,MWh/t PP,Electricity,11.35,Contribution = process value × effective process scale × allocation factor
Methanolroute,Captured CO2 and H2 via methanol-to-propylene,Reverse water-gas shift and methanol synthesis,Methanol (1.0 kg),2.382629107981221,Hydrogen,External input / cost parameter,0.208,kg,1,495.58685446009395,kg/t PP,Hydrogen,495.59,Contribution = process value × effective process scale × allocation factor × 1000 unit conversion
Methanolroute,Captured CO2 and H2 via methanol-to-propylene,Reverse water-gas shift and methanol synthesis,Methanol (1.0 kg),2.382629107981221,Carbon dioxide,Direct process emission,0.05,kg,1,0.11913145539906106,t CO2/t PP,CO2,0.31913,Contribution = process value × effective process scale × allocation factor
Methanolroute,Captured CO2 and H2 via methanol-to-propylene,CO2 capture by amine scrubbing,CO2 (1.0 kg),3.4452816901408454,Strom,External input / cost parameter,0.972,kWh,1,3.3488138028169017,MWh/t PP,Electricity,11.35,Contribution = process value × effective process scale × allocation factor
Methanolroute,Captured CO2 and H2 via methanol-to-propylene,CO2 capture by amine scrubbing,CO2 (1.0 kg),3.4452816901408454,Carbon dioxide,Direct process emission,0,kg,1,0,t CO2/t PP,CO2,0.31913,Contribution = process value × effective process scale × allocation factor
Methanolroute,Captured CO2 and H2 via methanol-to-propylene,CO2 capture by amine scrubbing,CO2 (1.0 kg),3.4452816901408454,CAPEX,External input / cost parameter,615.77,EUR,1,2121.5011063380284,EUR/t annual PP capacity,CAPEX,5627.57,Contribution = process value × effective process scale × allocation factor
Methanolroute,Captured CO2 and H2 via methanol-to-propylene,CO2 capture by amine scrubbing,CO2 (1.0 kg),3.4452816901408454,OPEX,External input / cost parameter,15.39,EUR,1,53.022885211267614,EUR/t PP,Additional OPEX,140.58,Contribution = process value × effective process scale × allocation factor
Fischer-Tropsch,Captured CO2 and H2 via Fischer-Tropsch and electric steam cracking,Polymerisation,Polypropylene (1.0 kg),1,Carbon dioxide,Direct process emission,0.2,kg,1,0.2,t CO2/t PP,CO2,0.21594,Contribution = process value × effective process scale × allocation factor
Fischer-Tropsch,Captured CO2 and H2 via Fischer-Tropsch and electric steam cracking,Polymerisation,Polypropylene (1.0 kg),1,CAPEX,External input / cost parameter,200,EUR,1,200,EUR/t annual PP capacity,CAPEX,5080.04,Contribution = process value × effective process scale × allocation factor
Fischer-Tropsch,Captured CO2 and H2 via Fischer-Tropsch and electric steam cracking,Polymerisation,Polypropylene (1.0 kg),1,Strom,External input / cost parameter,0.23,kWh,1,0.23,MWh/t PP,Electricity,8.66811,Contribution = process value × effective process scale × allocation factor
Fischer-Tropsch,Captured CO2 and H2 via Fischer-Tropsch and electric steam cracking,Polymerisation,Polypropylene (1.0 kg),1,OPEX,External input / cost parameter,5,EUR,1,5,EUR/t PP,Additional OPEX,126.98,Contribution = process value × effective process scale × allocation factor
Fischer-Tropsch,Captured CO2 and H2 via Fischer-Tropsch and electric steam cracking,Electric steam cracker,Propylene (0.196 kg),5.178571428571428,Strom,External input / cost parameter,3.6936,kWh,0.2578947368421053,4.932899999999999,MWh/t PP,Electricity,8.66811,Contribution = process value × effective process scale × allocation factor
Fischer-Tropsch,Captured CO2 and H2 via Fischer-Tropsch and electric steam cracking,Electric steam cracker,Propylene (0.196 kg),5.178571428571428,CAPEX,External input / cost parameter,1710,EUR,0.2835332803353328,2510.788459255206,EUR/t annual PP capacity,CAPEX,5080.04,Contribution = process value × effective process scale × allocation factor
Fischer-Tropsch,Captured CO2 and H2 via Fischer-Tropsch and electric steam cracking,Electric steam cracker,Propylene (0.196 kg),5.178571428571428,Naphtha,Intermediate input,1,kg,0.196,1.015,t/t PP,,,Contribution = process value × effective process scale × allocation factor
Fischer-Tropsch,Captured CO2 and H2 via Fischer-Tropsch and electric steam cracking,Electric steam cracker,Propylene (0.196 kg),5.178571428571428,OPEX,External input / cost parameter,42.75,EUR,0.2835332803353328,62.76971148138015,EUR/t PP,Additional OPEX,126.98,Contribution = process value × effective process scale × allocation factor
Fischer-Tropsch,Captured CO2 and H2 via Fischer-Tropsch and electric steam cracking,Reverse water-gas shift and Fischer-Tropsch synthesis,Naphtha (1.0 kg),1.015,Hydrogen,External input / cost parameter,0.4619,kg,1,468.8284999999999,kg/t PP,Hydrogen,468.83,Contribution = process value × effective process scale × allocation factor × 1000 unit conversion
Fischer-Tropsch,Captured CO2 and H2 via Fischer-Tropsch and electric steam cracking,Reverse water-gas shift and Fischer-Tropsch synthesis,Naphtha (1.0 kg),1.015,Carbon dioxide,Direct process emission,0.0157,kg,1,0.0159355,t CO2/t PP,CO2,0.21594,Contribution = process value × effective process scale × allocation factor
Fischer-Tropsch,Captured CO2 and H2 via Fischer-Tropsch and electric steam cracking,Reverse water-gas shift and Fischer-Tropsch synthesis,Naphtha (1.0 kg),1.015,OPEX,External input / cost parameter,7.44,EUR,1,7.5516,EUR/t PP,Additional OPEX,126.98,Contribution = process value × effective process scale × allocation factor
Fischer-Tropsch,Captured CO2 and H2 via Fischer-Tropsch and electric steam cracking,Reverse water-gas shift and Fischer-Tropsch synthesis,Naphtha (1.0 kg),1.015,CAPEX,External input / cost parameter,297.89,EUR,1,302.35835,EUR/t annual PP capacity,CAPEX,5080.04,Contribution = process value × effective process scale × allocation factor
Fischer-Tropsch,Captured CO2 and H2 via Fischer-Tropsch and electric steam cracking,Reverse water-gas shift and Fischer-Tropsch synthesis,Naphtha (1.0 kg),1.015,Strom,External input / cost parameter,0.239,kWh,1,0.24258499999999997,MWh/t PP,Electricity,8.66811,Contribution = process value × effective process scale × allocation factor
Fischer-Tropsch,Captured CO2 and H2 via Fischer-Tropsch and electric steam cracking,CO2 capture by amine scrubbing,CO2 (1.0 kg),3.3566049999999996,Strom,External input / cost parameter,0.972,kWh,1,3.2626200599999997,MWh/t PP,Electricity,8.66811,Contribution = process value × effective process scale × allocation factor
Fischer-Tropsch,Captured CO2 and H2 via Fischer-Tropsch and electric steam cracking,CO2 capture by amine scrubbing,CO2 (1.0 kg),3.3566049999999996,Carbon dioxide,Direct process emission,0,kg,1,0,t CO2/t PP,CO2,0.21594,Contribution = process value × effective process scale × allocation factor
Fischer-Tropsch,Captured CO2 and H2 via Fischer-Tropsch and electric steam cracking,CO2 capture by amine scrubbing,CO2 (1.0 kg),3.3566049999999996,CAPEX,External input / cost parameter,615.77,EUR,1,2066.8966608499995,EUR/t annual PP capacity,CAPEX,5080.04,Contribution = process value × effective process scale × allocation factor
Fischer-Tropsch,Captured CO2 and H2 via Fischer-Tropsch and electric steam cracking,CO2 capture by amine scrubbing,CO2 (1.0 kg),3.3566049999999996,OPEX,External input / cost parameter,15.39,EUR,1,51.65815094999999,EUR/t PP,Additional OPEX,126.98,Contribution = process value × effective process scale × allocation factor
Biomethanol,Dry biomass via biomethanol-to-propylene,Polymerisation,Polypropylene (1.0 kg),1,Carbon dioxide,Direct process emission,0.2,kg,1,0.2,t CO2/t PP,CO2,0.2,Contribution = process value × effective process scale × allocation factor
Biomethanol,Dry biomass via biomethanol-to-propylene,Polymerisation,Polypropylene (1.0 kg),1,CAPEX,External input / cost parameter,200,EUR,1,200,EUR/t annual PP capacity,CAPEX,6077,Contribution = process value × effective process scale × allocation factor
Biomethanol,Dry biomass via biomethanol-to-propylene,Polymerisation,Polypropylene (1.0 kg),1,Strom,External input / cost parameter,0.23,kWh,1,0.23,MWh/t PP,Electricity,7.91,Contribution = process value × effective process scale × allocation factor
Biomethanol,Dry biomass via biomethanol-to-propylene,Polymerisation,Polypropylene (1.0 kg),1,OPEX,External input / cost parameter,5,EUR,1,5,EUR/t PP,Additional OPEX,151.89,Contribution = process value × effective process scale × allocation factor
Biomethanol,Dry biomass via biomethanol-to-propylene,Methanol-to-propylene,Methanol (1.0 kg),3.573943661971831,Strom,External input / cost parameter,3.05556,kWh,0.6666666666666667,7.280266197183099,MWh/t PP,Electricity,7.91,Contribution = process value × effective process scale × allocation factor
Biomethanol,Dry biomass via biomethanol-to-propylene,Methanol-to-propylene,Methanol (1.0 kg),3.573943661971831,OPEX,External input / cost parameter,27.65,EUR,0.6666666666666667,65.87969483568075,EUR/t PP,Additional OPEX,151.89,Contribution = process value × effective process scale × allocation factor
Biomethanol,Dry biomass via biomethanol-to-propylene,Methanol-to-propylene,Methanol (1.0 kg),3.573943661971831,CAPEX,External input / cost parameter,1106.75,EUR,0.6666666666666667,2636.9747652582164,EUR/t annual PP capacity,CAPEX,6077,Contribution = process value × effective process scale × allocation factor
Biomethanol,Dry biomass via biomethanol-to-propylene,Biomethanol production,Methanol (1.0 kg),2.382629107981221,Carbon dioxide,Direct process emission,0,kg,1,0,t CO2/t PP,CO2,0.2,Contribution = process value × effective process scale × allocation factor
Biomethanol,Dry biomass via biomethanol-to-propylene,Biomethanol production,Methanol (1.0 kg),2.382629107981221,Strom,External input / cost parameter,0.167,kWh,1,0.39789906103286393,MWh/t PP,Electricity,7.91,Contribution = process value × effective process scale × allocation factor
Biomethanol,Dry biomass via biomethanol-to-propylene,Biomethanol production,Methanol (1.0 kg),2.382629107981221,CAPEX,External input / cost parameter,1360,EUR,1,3240.3755868544604,EUR/t annual PP capacity,CAPEX,6077,Contribution = process value × effective process scale × allocation factor
Biomethanol,Dry biomass via biomethanol-to-propylene,Biomethanol production,Methanol (1.0 kg),2.382629107981221,Biomass,External input / cost parameter,2.6,kg,1,6.194835680751175,t/t PP,Biomass,6.198,Contribution = process value × effective process scale × allocation factor
Biomethanol,Dry biomass via biomethanol-to-propylene,Biomethanol production,Methanol (1.0 kg),2.382629107981221,OPEX,External input / cost parameter,34,EUR,1,81.00938967136152,EUR/t PP,Additional OPEX,151.89,Contribution = process value × effective process scale × allocation factor
Renewable Naphtha E-Steamcracker,Renewable naphtha via electric steam cracking,Polymerisation,Polypropylene (1.0 kg),1,Carbon dioxide,Direct process emission,0.2,kg,1,0.2,t CO2/t PP,CO2,0.2,Contribution = process value × effective process scale × allocation factor
Renewable Naphtha E-Steamcracker,Renewable naphtha via electric steam cracking,Polymerisation,Polypropylene (1.0 kg),1,CAPEX,External input / cost parameter,200,EUR,1,200,EUR/t annual PP capacity,CAPEX,2710.79,Contribution = process value × effective process scale × allocation factor
Renewable Naphtha E-Steamcracker,Renewable naphtha via electric steam cracking,Polymerisation,Polypropylene (1.0 kg),1,Strom,External input / cost parameter,0.23,kWh,1,0.23,MWh/t PP,Electricity,5.16,Contribution = process value × effective process scale × allocation factor
Renewable Naphtha E-Steamcracker,Renewable naphtha via electric steam cracking,Polymerisation,Polypropylene (1.0 kg),1,OPEX,External input / cost parameter,5,EUR,1,5,EUR/t PP,Additional OPEX,67.77,Contribution = process value × effective process scale × allocation factor
Renewable Naphtha E-Steamcracker,Renewable naphtha via electric steam cracking,Electric steam cracker,Propylene (0.196 kg),5.178571428571428,Strom,External input / cost parameter,3.6936,kWh,0.2578947368421053,4.932899999999999,MWh/t PP,Electricity,5.16,Contribution = process value × effective process scale × allocation factor
Renewable Naphtha E-Steamcracker,Renewable naphtha via electric steam cracking,Electric steam cracker,Propylene (0.196 kg),5.178571428571428,CAPEX,External input / cost parameter,1710,EUR,0.2835332803353328,2510.788459255206,EUR/t annual PP capacity,CAPEX,2710.79,Contribution = process value × effective process scale × allocation factor
Renewable Naphtha E-Steamcracker,Renewable naphtha via electric steam cracking,Electric steam cracker,Propylene (0.196 kg),5.178571428571428,Renewable naphtha,External input / cost parameter,1,kg,0.196,1.015,t/t PP,Renewable naphtha,1.015,Contribution = process value × effective process scale × allocation factor
Renewable Naphtha E-Steamcracker,Renewable naphtha via electric steam cracking,Electric steam cracker,Propylene (0.196 kg),5.178571428571428,OPEX,External input / cost parameter,42.75,EUR,0.2835332803353328,62.76971148138015,EUR/t PP,Additional OPEX,67.77,Contribution = process value × effective process scale × allocation factor
Renewable Propane PDH,Renewable propane via conventional PDH,Polymerisation,Polypropylene (1.0 kg),1,Carbon dioxide,Direct process emission,0.2,kg,1,0.2,t CO2/t PP,CO2,1.17926,Contribution = process value × effective process scale × allocation factor
Renewable Propane PDH,Renewable propane via conventional PDH,Polymerisation,Polypropylene (1.0 kg),1,CAPEX,External input / cost parameter,200,EUR,1,200,EUR/t annual PP capacity,CAPEX,1615.170175,Contribution = process value × effective process scale × allocation factor
Renewable Propane PDH,Renewable propane via conventional PDH,Polymerisation,Polypropylene (1.0 kg),1,Strom,External input / cost parameter,0.23,kWh,1,0.23,MWh/t PP,Electricity,0.729854,Contribution = process value × effective process scale × allocation factor
Renewable Propane PDH,Renewable propane via conventional PDH,Polymerisation,Polypropylene (1.0 kg),1,OPEX,External input / cost parameter,5,EUR,1,5,EUR/t PP,Additional OPEX,93.118284,Contribution = process value × effective process scale × allocation factor
Renewable Propane PDH,Renewable propane via conventional PDH,Conventional propane dehydrogenation (PDH),Propylene for polymerisation,1.015,Renewable propane,External input / cost parameter,1.1763546798,t/t propylene,1,1.194,t/t PP,Renewable propane,1.194118,Contribution = process value × effective process scale × allocation factor
Renewable Propane PDH,Renewable propane via conventional PDH,Conventional propane dehydrogenation (PDH),Propylene for polymerisation,1.015,Strom,External input / cost parameter,0.4926108374,MWh/t propylene,1,0.5,MWh/t PP,Electricity,0.729854,Contribution = process value × effective process scale × allocation factor
Renewable Propane PDH,Renewable propane via conventional PDH,Conventional propane dehydrogenation (PDH),Propylene for polymerisation,1.015,CAPEX,External input / cost parameter,1394.08866995,EUR/t annual propylene capacity,1,1415,EUR/t annual PP capacity,CAPEX,1615.170175,Reported USD_2016 CAPEX converted and scaled to the PP functional unit
Renewable Propane PDH,Renewable propane via conventional PDH,Conventional propane dehydrogenation (PDH),Propylene for polymerisation,1.015,OPEX,External input / cost parameter,86.6995073892,EUR/t propylene,1,88,EUR/t PP,Additional OPEX,93.118284,Reported non-feedstock OPEX converted and scaled to the PP functional unit
Renewable Propane PDH,Renewable propane via conventional PDH,Conventional propane dehydrogenation (PDH),Propylene for polymerisation,1.015,Hydrogen coproduct,Coproduct (not credited),0.0436453202,t H2/t propylene,1,0.0443,t H2/t PP,Not credited,0,No hydrogen coproduct credit is included in model costs
Renewable Propane PDH,Renewable propane via conventional PDH,PDH utility integration and off-gas heat recovery,Integrated PDH utilities,1,Low-pressure steam,Intermediate utility,3.333,MWh_th/t PP,1,3.333,MWh_th/t PP,Intermediate utility,4.878,Used in the net purchased-natural-gas calculation
Renewable Propane PDH,Renewable propane via conventional PDH,PDH utility integration and off-gas heat recovery,Integrated PDH utilities,1,Fired heat,Intermediate utility,2.237,MWh_th/t PP,1,2.237,MWh_th/t PP,Intermediate utility,4.878,Gross fired heat before retained renewable off-gas recovery
Renewable Propane PDH,Renewable propane via conventional PDH,PDH utility integration and off-gas heat recovery,Integrated PDH utilities,1,"Energy, from gas, natural",External input / cost parameter,4.878,MWh/t PP,1,4.878,MWh/t PP,Natural Gas,4.878176,Net CaCoCa input after utility integration and off-gas heat recovery
Renewable Propane PDH,Renewable propane via conventional PDH,PDH utility integration and off-gas heat recovery,Integrated PDH utilities,1,Carbon dioxide,Direct process emission,0.98,t CO2/t PP,1,0.98,t CO2/t PP,CO2,1.17926,"Together with polymerisation emissions, gives the route aggregate"
Steamcracker Naphtha,Fossil naphtha via conventional steam cracking,Pathway-level CaCoCa input,Polypropylene (1.0 t),1,Naphta,External input / cost parameter,1.015,t/t_product,1,1.015,t/t_product,Naphta,1.015,Explicit CaCoCa input row added during repository consistency review; included in aggregated_pathway_data.csv
Steamcracker Naphtha,Fossil naphtha via conventional steam cracking,End-of-life accounting parameter,Polypropylene (1.0 t),1,CO2 EoL,Hypothetical end-of-life parameter,3.14,t/t_product,1,3.14,t/t_product,CO2 EoL,3.14,Explicit CaCoCa input row added during repository consistency review; included in aggregated_pathway_data.csv
E-Steamcracker Naphtha,Fossil naphtha via electric steam cracking,Pathway-level CaCoCa input,Polypropylene (1.0 t),1,Natural Gas,External input / cost parameter,0,MWh/t_product,1,0,MWh/t_product,Natural Gas,0,Explicit CaCoCa input row added during repository consistency review; included in aggregated_pathway_data.csv
E-Steamcracker Naphtha,Fossil naphtha via electric steam cracking,End-of-life accounting parameter,Polypropylene (1.0 t),1,CO2 EoL,Hypothetical end-of-life parameter,3.14,t/t_product,1,3.14,t/t_product,CO2 EoL,3.14,Explicit CaCoCa input row added during repository consistency review; included in aggregated_pathway_data.csv
Pyrolyse E-Steamcracker,PCW via pyrolysis and electric steam cracking,Pathway-level CaCoCa input,Polypropylene (1.0 t),1,Natural Gas,External input / cost parameter,0,MWh/t_product,1,0,MWh/t_product,Natural Gas,0,Explicit CaCoCa input row added during repository consistency review; included in aggregated_pathway_data.csv
Hydrocracking E-Steamcracker,PCW via hydrocracking and electric steam cracking,Pathway-level CaCoCa input,Polypropylene (1.0 t),1,Natural Gas,External input / cost parameter,0,MWh/t_product,1,0,MWh/t_product,Natural Gas,0,Explicit CaCoCa input row added during repository consistency review; included in aggregated_pathway_data.csv
Gasifizierung-FT E-Steamcracker,PCW via gasification-FT and electric steam cracking,Pathway-level CaCoCa input,Polypropylene (1.0 t),1,Natural Gas,External input / cost parameter,0,MWh/t_product,1,0,MWh/t_product,Natural Gas,0,Explicit CaCoCa input row added during repository consistency review; included in aggregated_pathway_data.csv
Mechanisches Recycling,PCW via mechanical recycling,Pathway-level CaCoCa input,Polypropylene (1.0 t),1,Natural Gas,External input / cost parameter,0,MWh/t_product,1,0,MWh/t_product,Natural Gas,0,Explicit CaCoCa input row added during repository consistency review; included in aggregated_pathway_data.csv
Renewable Naphtha E-Steamcracker,Renewable naphtha via electric steam cracking,Pathway-level CaCoCa input,Polypropylene (1.0 t),1,Natural Gas,External input / cost parameter,0.0,MWh/t_product,1,0.0,MWh/t_product,Natural Gas,0.0,Explicit CaCoCa input row added during repository consistency review; included in aggregated_pathway_data.csv
